RowNumber,CustomerId,Surname,FirstName,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,18506685,Saxena,Aarav,754,Delhi,Male,42,3,0.0,4,1,0,646206.34,1
2,16105625,Iyer,Siddharth,323,Gujarat,Male,22,6,1030721.7,2,0,0,2110200.35,0
3,11386609,Bose,Arjun,582,Tamil Nadu,Male,24,5,1498187.09,2,1,1,1970382.61,0
4,10708838,Chopra,Priya,670,Karnataka,Female,33,5,0.0,1,0,1,1529945.0,0
5,10363972,Chopra,Vikram,877,Maharashtra,Male,52,4,402412.05,1,1,1,916309.54,0
6,17695542,Tiwari,Priya,418,Maharashtra,Female,42,6,848185.67,2,0,0,2460762.19,0
7,10419111,Bose,Nikhil,548,Maharashtra,Male,45,8,719695.36,1,1,1,1679700.21,0
8,12587732,Kumar,Sunita,361,Gujarat,Female,47,5,0.0,2,1,0,1893892.15,1
9,17390822,Pandey,Pooja,699,Karnataka,Female,37,9,1085360.49,2,1,0,2222666.28,0
10,11528363,Menon,Meera,439,Tamil Nadu,Female,26,6,194663.95,2,1,1,2091054.57,0
11,13302982,Rao,Shreya,851,Maharashtra,Female,63,8,183442.71,1,1,1,2084469.32,0
12,18405646,Singh,Kavya,517,Gujarat,Female,36,6,762169.04,2,1,1,769473.91,0
13,19612619,Singh,Neha,309,Tamil Nadu,Female,28,5,1461050.61,2,1,0,912954.02,0
14,19622210,Sharma,Rajesh,866,Maharashtra,Male,53,2,0.0,2,1,0,1090689.2,0
15,10344593,Patel,Suresh,388,Maharashtra,Male,30,0,0.0,1,1,0,2306898.45,0
16,17851292,Agarwal,Vikram,815,Maharashtra,Male,54,9,765718.21,2,0,1,312784.03,0
17,12238201,Singh,Vikram,773,Delhi,Male,39,8,6875.45,2,0,0,781257.28,0
18,17144501,Shah,Nikhil,552,Karnataka,Male,34,6,445542.5,1,1,0,1207475.17,0
19,13979320,Menon,Nikhil,682,Delhi,Male,23,2,170707.54,1,1,1,1839064.05,0
20,12612236,Tiwari,Deepak,322,Delhi,Male,61,9,1059786.75,2,1,1,556225.97,1
21,17938252,Gupta,Vikram,860,Karnataka,Male,43,8,661350.92,1,1,1,1357372.8,0
22,13193796,Bose,Karan,661,Maharashtra,Male,60,2,935861.05,1,1,0,957404.42,0
23,10079766,Iyer,Kavya,684,Delhi,Female,31,2,905615.22,1,1,0,681864.32,0
24,19663109,Srivastava,Deepak,686,Delhi,Male,26,6,0.0,2,0,0,322826.12,0
25,15549645,Agarwal,Riya,539,Karnataka,Female,54,1,0.0,2,1,1,2087147.79,1
26,11950939,Verma,Karan,614,Tamil Nadu,Male,21,9,405228.55,1,1,0,1768219.38,0
27,17813586,Malhotra,Ananya,506,Maharashtra,Female,55,6,724328.47,1,1,0,831748.02,0
28,15378803,Joshi,Anjali,534,Karnataka,Female,45,6,308011.75,2,0,1,1082893.45,0
29,13148558,Chopra,Sneha,573,Karnataka,Female,49,0,1406838.12,1,1,1,1451574.98,0
30,13902015,Saxena,Kavya,448,Maharashtra,Female,43,9,623357.92,1,1,1,925260.08,0
31,19759735,Reddy,Rajesh,867,Karnataka,Male,38,1,0.0,1,1,0,614615.81,0
32,18309652,Malhotra,Rekha,580,Maharashtra,Female,34,4,0.0,1,1,1,668731.97,0
33,18669299,Rao,Divya,459,Maharashtra,Female,37,3,417834.01,2,0,1,2153549.88,0
34,14804176,Menon,Pooja,369,Gujarat,Female,22,2,0.0,2,0,0,1304424.76,0
35,16334307,Malhotra,Ananya,639,Gujarat,Female,51,9,1230345.09,2,1,1,1273881.32,0
36,14773562,Kapoor,Manish,540,Tamil Nadu,Male,39,7,1161274.19,1,0,1,1079238.26,0
37,15916519,Verma,Sunita,462,Delhi,Female,52,6,0.0,1,0,0,1856654.69,1
38,14265436,Sharma,Aarav,382,Maharashtra,Male,48,8,0.0,1,1,1,2104777.85,0
39,12876956,Mishra,Aditya,759,Tamil Nadu,Male,61,2,0.0,1,1,0,1851711.65,0
40,10507730,Sharma,Siddharth,460,Delhi,Male,28,9,0.0,1,1,1,1304375.61,0
41,15089717,Rao,Sunita,539,Maharashtra,Female,62,0,74741.27,2,1,0,645175.08,0
42,17313341,Shah,Rahul,785,Karnataka,Male,61,8,1056971.89,1,1,1,1437045.39,0
43,19102814,Chopra,Manish,502,Maharashtra,Male,60,8,1202666.91,2,0,1,1865086.11,0
44,14481097,Saxena,Rohan,723,Gujarat,Male,59,0,393206.69,2,1,0,1138779.37,0
45,13991604,Verma,Sunita,496,Delhi,Female,42,7,0.0,1,1,1,2478731.96,0
46,18576847,Desai,Sunita,341,Tamil Nadu,Female,44,9,0.0,1,1,0,2349384.99,0
47,15500835,Mishra,Rajesh,513,Delhi,Male,58,0,0.0,2,0,0,2343822.42,0
48,10921435,Patel,Nikhil,552,Karnataka,Male,22,5,832440.1,2,1,0,1557088.11,1
49,18315064,Saxena,Ananya,316,Karnataka,Female,61,8,1059119.01,2,1,1,1462441.34,0
50,14535107,Kumar,Isha,415,Maharashtra,Female,61,2,1497243.37,1,1,0,1418490.03,0
51,16725248,Bose,Sneha,503,Gujarat,Female,39,5,482052.33,2,1,0,1268781.52,0
52,15417699,Chopra,Pranav,450,Tamil Nadu,Male,61,2,0.0,1,1,0,553660.28,0
53,13775503,Agarwal,Sneha,545,Gujarat,Female,22,4,1050825.21,2,1,1,2214150.65,0
54,11083140,Agarwal,Vikram,357,Gujarat,Male,48,6,0.0,2,0,1,2077017.22,0
55,17178744,Bose,Rohan,806,Karnataka,Male,52,9,0.0,2,1,1,1903328.88,0
56,17522532,Agarwal,Vikram,540,Gujarat,Male,39,3,1459194.81,1,1,1,1780588.55,0
57,12435039,Das,Aditya,391,Maharashtra,Male,36,3,0.0,2,1,0,1262247.24,0
58,10224517,Kumar,Sunita,697,Maharashtra,Female,50,6,517863.05,2,1,1,2489696.09,1
59,15352476,Saxena,Rajesh,691,Maharashtra,Male,42,4,342453.26,1,1,1,1202674.02,0
60,11421634,Pandey,Nikhil,345,Delhi,Male,34,0,169795.15,1,0,1,789343.19,0
61,11617321,Agarwal,Deepak,454,Delhi,Male,21,9,0.0,1,0,0,953871.84,0
62,17814803,Kumar,Karan,369,Delhi,Male,22,1,0.0,1,1,1,1839237.2,0
63,16972390,Patel,Nisha,810,Tamil Nadu,Female,42,5,972433.11,1,0,0,878610.12,0
64,18482292,Pandey,Arjun,581,Delhi,Male,53,8,567657.03,1,0,1,1731223.82,1
65,15986436,Verma,Siddharth,725,Delhi,Male,35,6,0.0,1,1,1,1828931.64,0
66,19280680,Pillai,Priya,329,Karnataka,Female,61,3,0.0,1,1,0,2279325.6,1
67,18450637,Sharma,Priya,561,Maharashtra,Female,42,1,616505.15,2,1,0,1246621.4,0
68,18213173,Verma,Kavya,622,Tamil Nadu,Female,60,3,0.0,1,1,1,1315967.61,0
69,17074419,Reddy,Karan,382,Maharashtra,Male,59,4,0.0,3,0,0,339972.27,1
70,11269221,Pillai,Rekha,766,Gujarat,Female,61,1,1008741.79,1,0,0,587232.72,0
71,13272834,Shah,Sunita,515,Tamil Nadu,Female,61,0,0.0,2,0,1,765774.77,1
72,12437605,Chatterjee,Sunita,334,Maharashtra,Female,31,3,183976.71,1,1,0,2342538.34,0
73,18442722,Mehta,Pooja,304,Maharashtra,Female,24,5,1027698.44,1,1,1,1666889.25,0
74,15487681,Verma,Rajesh,305,Tamil Nadu,Male,27,0,890387.32,2,1,1,2273132.52,0
75,17595547,Iyer,Isha,546,Tamil Nadu,Female,41,0,0.0,2,0,1,904378.09,0
76,13956724,Mishra,Aarav,392,Tamil Nadu,Male,27,8,899576.83,2,0,0,945012.2,0
77,17525171,Chopra,Rahul,614,Tamil Nadu,Male,24,4,0.0,2,1,1,1336947.27,0
78,18918740,Kumar,Aditya,734,Maharashtra,Male,32,1,656908.98,2,1,0,1710331.99,0
